Period,Period1,Type,Revision,Location,Integrated,Values
01-01-25,Jan-25,FTE,V32,New Delhi,Integrated,0.00
01-01-25,Jan-25,FTE,V32,New Delhi,Non-Integrated,0.00
01-01-25,Jan-25,FTE,V32,Offshore Other,All,0.00
01-01-25,Jan-25,FTE,V32,Offshore Other,Integrated,0.00
01-01-25,Jan-25,FTE,V32,Offshore Other,Non-Integrated,0.00
01-01-25,Jan-25,FTE,V32,Tengiz,All,0.00
01-01-25,Jan-25,FTE,V32,Tengiz,Integrated,0.00
01-01-25,Jan-25,FTE,V32,Tengiz,Non-Integrated,0.00
02-01-25,Feb-25,FTE,V32,Almaty,All,0.00
02-01-25,Feb-25,FTE,V32,Almaty,Integrated,0.00
02-01-25,Feb-25,FTE,V32,Almaty,Non-Integrated,0.00
02-01-25,Feb-25,FTE,V32,Atyrau,All,0.00
02-01-25,Feb-25,FTE,V32,Atyrau,Integrated,0.00
02-01-25,Feb-25,FTE,V32,Atyrau,Non-Integrated,0.00
02-01-25,Feb-25,FTE,V32,Farnborough,All,0.00
02-01-25,Feb-25,FTE,V32,Farnborough,Integrated,0.00
02-01-25,Feb-25,FTE,V32,Farnborough,Non-Integrated,0.00
02-01-25,Feb-25,FTE,V32,New Delhi,All,0.00
02-01-25,Feb-25,FTE,V32,New Delhi,Integrated,0.00
02-01-25,Feb-25,FTE,V32,New Delhi,Non-Integrated,0.00
02-01-25,Feb-25,FTE,V32,Offshore Other,All,0.00
02-01-25,Feb-25,FTE,V32,Offshore Other,Integrated,0.00
02-01-25,Feb-25,FTE,V32,Offshore Other,Non-Integrated,0.00
02-01-25,Feb-25,FTE,V32,Tengiz,All,0.00
02-01-25,Feb-25,FTE,V32,Tengiz,Integrated,0.00
02-01-25,Feb-25,FTE,V32,Tengiz,Non-Integrated,0.00
03-01-25,Mar-25,FTE,V32,Almaty,All,0.00
03-01-25,Mar-25,FTE,V32,Almaty,Integrated,0.00
03-01-25,Mar-25,FTE,V32,Almaty,Non-Integrated,0.00
03-01-25,Mar-25,FTE,V32,Atyrau,All,0.00
03-01-25,Mar-25,FTE,V32,Atyrau,Integrated,0.00
03-01-25,Mar-25,FTE,V32,Atyrau,Non-Integrated,0.00
03-01-25,Mar-25,FTE,V32,Farnborough,All,0.00
03-01-25,Mar-25,FTE,V32,Farnborough,Integrated,0.00
03-01-25,Mar-25,FTE,V32,Farnborough,Non-Integrated,0.00
03-01-25,Mar-25,FTE,V32,New Delhi,All,0.00
03-01-25,Mar-25,FTE,V32,New Delhi,Integrated,0.00
03-01-25,Mar-25,FTE,V32,New Delhi,Non-Integrated,0.00
03-01-25,Mar-25,FTE,V32,Offshore Other,All,0.00
03-01-25,Mar-25,FTE,V32,Offshore Other,Integrated,0.00
03-01-25,Mar-25,FTE,V32,Offshore Other,Non-Integrated,0.00
03-01-25,Mar-25,FTE,V32,Tengiz,All,0.00
03-01-25,Mar-25,FTE,V32,Tengiz,Integrated,0.00
03-01-25,Mar-25,FTE,V32,Tengiz,Non-Integrated,0.00
04-01-25,Apr-25,FTE,V32,Almaty,All,0.00
04-01-25,Apr-25,FTE,V32,Almaty,Integrated,0.00
04-01-25,Apr-25,FTE,V32,Almaty,Non-Integrated,0.00
04-01-25,Apr-25,FTE,V32,Atyrau,All,0.00
04-01-25,Apr-25,FTE,V32,Atyrau,Integrated,0.00
04-01-25,Apr-25,FTE,V32,Atyrau,Non-Integrated,0.00
04-01-25,Apr-25,FTE,V32,Farnborough,All,0.00
04-01-25,Apr-25,FTE,V32,Farnborough,Integrated,0.00
04-01-25,Apr-25,FTE,V32,Farnborough,Non-Integrated,0.00
04-01-25,Apr-25,FTE,V32,New Delhi,All,0.00
04-01-25,Apr-25,FTE,V32,New Delhi,Integrated,0.00
04-01-25,Apr-25,FTE,V32,New Delhi,Non-Integrated,0.00
04-01-25,Apr-25,FTE,V32,Offshore Other,All,0.00
04-01-25,Apr-25,FTE,V32,Offshore Other,Integrated,0.00
04-01-25,Apr-25,FTE,V32,Offshore Other,Non-Integrated,0.00
04-01-25,Apr-25,FTE,V32,Tengiz,All,0.00
04-01-25,Apr-25,FTE,V32,Tengiz,Integrated,0.00
04-01-25,Apr-25,FTE,V32,Tengiz,Non-Integrated,0.00
01-01-24,Jan-24,HeadCount,V32,Almaty,All,2.00
01-01-24,Jan-24,HeadCount,V32,Almaty,Integrated,0.00
01-01-24,Jan-24,HeadCount,V32,Almaty,Non-Integrated,2.00
01-01-24,Jan-24,HeadCount,V32,Atyrau,All,131.00
01-01-24,Jan-24,HeadCount,V32,Atyrau,Integrated,13.00
01-01-24,Jan-24,HeadCount,V32,Atyrau,Non-Integrated,118.00
01-01-24,Jan-24,HeadCount,V32,Farnborough,All,42.00
01-01-24,Jan-24,HeadCount,V32,Farnborough,Integrated,2.00
01-01-24,Jan-24,HeadCount,V32,Farnborough,Non-Integrated,40.00
01-01-24,Jan-24,HeadCount,V32,New Delhi,All,1.00
01-01-24,Jan-24,HeadCount,V32,New Delhi,Integrated,0.00
01-01-24,Jan-24,HeadCount,V32,New Delhi,Non-Integrated,1.00
01-01-24,Jan-24,HeadCount,V32,Offshore Other,All,1.00
01-01-24,Jan-24,HeadCount,V32,Offshore Other,Integrated,0.00
01-01-24,Jan-24,HeadCount,V32,Offshore Other,Non-Integrated,1.00
